name	Email Address	Website	Description	Address	Phone	Fax	800 Number	TDD
Larsen Syndrome Resource Center	ellen@larsensyndromeresourcecenter.com	http://larsensyndromeresourcecenter.com/	LSRC aims to provide education and support for patients and families affected by Larsen Syndrome.	NA	NA	NA	NA	NA
Lipoprotein A Foundation	NA	http://www.lipoproteinafoundation.org/	Lipoprotein A Foundation aims to prevent cardiovascular events by increasing awareness, advocating for routine testing, and a specific treatment for elevated Lipoprotein(a).	809 Laurel StPO Box 460San Carlos, CA 94070 USA	(650) 995-3242	NA	NA	NA
Parent to Parent New Zealand, Inc.	NA	http://www.parent2parent.org.nz/	Parent to Parent is a nationwide not-for-profit organisation formed in 1983 by parents and professionals to support the families of babies, children, teens and adults with any type of disability or health impairment.	PO Box 234Hamilton,   New Zealand 3240	+64 7 853 8491	NA	NA	NA
Consortium of Multiple Sclerosis Centers	NA	http://www.mscare.org/	The Consortium of Multiple Sclerosis Centers strives to be the preeminent organization of multiple sclerosis health care providers improving the lives of those affected by multiple sclerosis. CMSC's missions are	3 University Plaza DrHackensack, NJ 07601 USA	201-487-1050	862-772-7275	NA	NA
Canadian PBC Society	info@pbc-society.ca	http://www.pbc-society.ca/	Canadian PBC Society is dedicated to providing support and encouragement, education and fundraising for primary biliary cholangitis related medical research.	4936 Yonge Street, Suite 221Toronto, Ontario M2N6S3 	416-440-0917	705-456-9872	1-866-441-3643	NA
Sanfilippo Children’s Foundation	info@sanfilippo.org.au	http://www.sanfilippo.org.au	http://www.facebook.com/Sanfilippochildrensfoundation/	PO Box 475Freshwater, NSW 2096 Australia	NA	NA	NA	NA
Evans Syndrome Foundation	EVANSSYNDROMEFOUNDATION@GMAIL.COM	http://evanssyndromefoundation.org/	https://www.facebook.com/evanssyndromefoundation/	4876 Stone Acres CRSt. Cloud, FL 34771 USA	NA	NA	NA	NA
Imerman Angels One-on-One Cancer Support	info@imermanangels.org	http://imermanangels.org/	https://www.facebook.com/ImermanAngels/	205 West Randolph19th FloorChicago, IL 60606 USA	866-463-7626	312-274-5530	866-IMERMAN (463-7626)	NA
PCD Foundation	info@pcdfoundation.org	http://www.pcdfoundation.org	https://www.facebook.com/PCDFoundation/?fref=ts	10137 Portland Avenue SMinneapolis, MN 55420 USA	NA	NA	NA	NA
Canadian CMTC Foundation	NA	http://www.canadiancmtcfoundation.com/	Our activities are aimed at the well-being of people who suffer from vascular malformations like CMTC ('Van Lohuizen syndrome') and to stimulate the scientific research of these afflictions.	645 Hayden CresCobourg, Ontario K9A 2V4 Canada	NA	NA	NA	NA
RYR-1 Foundation	NA	http://www.ryr1.org	The mission of the RYR-1 Foundation is to support research leading to effective treatment or a cure for RYR-1 related diseases.	939 Valley View RoadPittsburgh, PA 15243 USA	NA	NA	NA	NA
Chloe’s Fight Rare Disease Foundation	info@chloesfight.org	http://chloesfight.org/	The mission of Chloe’s Fight Rare Disease Foundation is raise awareness for rare diseases and to support research that focuses on finding and implementing effective cures and treatments for rare childhood genetic diseases such as metachromatic leukodystrophy (MLD).	343 Sweet Briar LaneHopkins, MN 55343 USA	NA	NA	NA	NA
Sitosterolemia Foundation	NA	http://www.sitosterolemiafoundation.org	Sitosterolema Foundation is a nonprofit organization dedicated to supporting families, individuals and professionals dealing with Sitosterolemia, a rare sterol disease. By providing a network of ongoing communication, funding related research, and raising awareness, we are committed to enhancing the quality of life of affected individuals while improving on current treatment methods.	814 Tannahill Dr.Huntsville, AL 35802 USA	NA	NA	NA	NA
The Transverse Myelitis Association	NA	https://myelitis.org/	1. TO SUPPORT AND ADVOCATE FOR INDIVIDUALS AND THEIR FAMILIES DIAGNOSED WITH RARE NEURO-IMMUNE DISORDERS OF THE CENTRAL NERVOUS SYSTEM	1787 Sutter ParkwayPowell, OH 43065 USA	NA	NA	NA	NA
Autoimmune Encephalitis Alliance	info@aealliance.org	www.aealliance.org	The Autoimmune Encephalitis Alliance promotes collaboration to improve care, find a cure, and create community so that no one faces autoimmune encephalitis alone.	920 Urban AvenueDurham, NC 27701 USA	NA	NA	NA	NA
Spinal CSF Leak Foundation	crdeline@spinalcsfleak.org	http://spinalcsfleak.org/	Our mission is to improve the quality of life of those affected by spinal CSF leaks through education, research and community support.	6656 NE Pear StreetSuquamish, WA 98392 	NA	NA	NA	NA
National Health Council	mboutin@nhcouncil.org	http://www.nationalhealthcouncil.org/	http://www.nationalhealthcouncil.org/about-nhc	1730 M St NWWashington, DC 10036 	NA	NA	NA	NA
